STT,Tên,Nhà cung cấp,Danh mục,Số lượng,Giá,Mô tả chi tiết dài,Cấu hình chi tiết,Ảnh,list ảnh,sản phẩm cha,id discount,show_price,mô tả tóm tắt,,Quy tắc
1,Imac 2014,1,1,10001,1000000,Đang được cập nhật,Đang được cập nhật,iMac_21.5FHD_2014_1.jpg,"imac-21-5inch-2014-mf883.jpg,imac-2014-21-5inch-mf883-1.jpg",,1,0,Đang được cập nhật,,
2,Fujisu lifebook uh75/k,8,2,10002,1000000,Đang được cập nhật,Đang được cập nhật,fujiUH75.jpg,"b0dff4f2e44e81797f99043d9d81644b.jpg, fujiUH75_1.jpg, 2-Fujitsu-Lifebook-UH75.jpg",,1,0,Đang được cập nhật,,
3,HP Gaming 15-CX0054TX,2,2,10003,1000000,Đang được cập nhật,Đang được cập nhật,GS.005590_FEATURE_68641.jpg,"5045_4835_15_dk0003tx_4.jpg, hp-pavilion-gaming-15-dk1159tx-i7-10750h-8gb-32gb-600x600.jpg, ",,1,0,Đang được cập nhật,,
4,Nec Lavie,10,2,10004,1000000,Đang được cập nhật,Đang được cập nhật,csm_PM55GNAR_7_2116b6ffd0.png,"4232647_nec_lavie_nm_2018_678_678x452.jpg, cvf1305607823.jpg",,1,0,Đang được cập nhật,,
5,Toshiba T75 (trắng),9,2,10005,1000000,Đang được cập nhật,Đang được cập nhật,Asus-FX516PC-HN011T-0-1.jpg,"2022-07-11-20-05-img-6270-319.jpg, dsc04397-fileminimizer-6869.jpg",,1,0,Đang được cập nhật,,
6,Fujisu lifebook nh77/cd,8,2,10006,1000000,Đang được cập nhật,Đang được cập nhật,i-img1200x1200-1657497756qswr2j710103.jpg,"i-img1200x1200-1657497756jhpidd710103.jpg, FUJITSU E734 2.jpg",,1,0,Đang được cập nhật,,"ô mô tả chi tiết dài:  vì dữ liệu là html nên mọi người copy đường dẫn vào ô này, sau này sẽ lại phải nhập tay"
7,Imac 2010 21inch,1,1,10007,1000000,Đang được cập nhật,Đang được cập nhật,DzmztgWMgqpCPNNhg0UNTKvXArwOJXuN5Thj5A4R.png,"imac-21-5inch-2014-mf883.jpg,imac-2014-21-5inch-mf883-1.jpg",,1,0,Đang được cập nhật,,"ô cấu hình chi tiết: nhập đúng theo cú pháp tên cấu hình : cấu hình ,
vd: cpu: core i5, ram: 4GB. Và cùng 1 loại sp phải theo đúng thứ tự để sau này thêm chức năng. VD: cấu hình ram, đến cpu thì cái laptop nào cũng phải theo thứ tự này"
8,Imac 2010 27inch,1,1,10008,1000000,Đang được cập nhật,Đang được cập nhật,DzmztgWMgqpCPNNhg0UNTKvXArwOJXuN5Thj5A4R.png,"imac-21-5inch-2014-mf883.jpg,imac-2014-21-5inch-mf883-1.jpg",,1,0,Đang được cập nhật,,ô ảnh điền tên ảnh là 1 ảnh
9,Nec Lavie PC-GN16CJSAA,10,2,10009,1000000,Đang được cập nhật,Đang được cập nhật,csm_PM55GNAR_7_2116b6ffd0.png,"4232647_nec_lavie_nm_2018_678_678x452.jpg, cvf1305607823.jpg",,1,0,Đang được cập nhật,,"ô list ảnh điền nhiều ảnh, mỗi ảnh cách nhau bởi 1 dấu phẩy. Lưu ý là ảnh phải điển cả đuôi"
10,Fujitsu MV Biblo,8,2,10010,1000000,Đang được cập nhật,Đang được cập nhật,i-img1200x1200-1657497756qswr2j710103.jpg,"i-img1200x1200-1657497756jhpidd710103.jpg, FUJITSU E734 2.jpg",,1,0,Đang được cập nhật,,"Sản phẩm cha đại diện cho 1 sp, các sp con là option của sp đấy, sp con mang id sp cha, sp cha thì điền là 0"
